                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.99403,                0.45844,                 1.2866,                0.97826,                0.98148,                0.99307,                0.73338,                 0.9159,                 0.3703,                 1.3819,              0.0016733,              0.0016733,              0.0016733
                     36,                0.98114,                0.45389,                 1.2772,                0.97472,                0.98194,                0.99339,                0.74636,                0.91088,                0.36714,                 1.3962,              0.0016634,              0.0016634,              0.0016634
                     37,                0.98309,                0.44987,                 1.2659,                0.97244,                 0.9802,                0.99268,                0.75413,                0.88679,                0.36589,                 1.3603,              0.0016535,              0.0016535,              0.0016535
                     38,                0.98929,                0.46339,                 1.2769,                0.97497,                0.98727,                 0.9937,                0.71535,                 0.9289,                0.41831,                 1.4074,              0.0016436,              0.0016436,              0.0016436
                     39,                0.95937,                0.44061,                 1.2655,                0.98516,                0.95833,                0.99281,                0.76595,                0.87207,                0.35009,                 1.3454,              0.0016337,              0.0016337,              0.0016337
                     40,                0.97244,                 0.4472,                  1.267,                0.96676,                0.97615,                0.99227,                0.75633,                0.84088,                0.36119,                 1.3192,              0.0016238,              0.0016238,              0.0016238
                     41,                0.98588,                0.45788,                  1.278,                 0.9761,                0.99074,                  0.993,                 0.7608,                0.84488,                0.34509,                 1.3156,              0.0016139,              0.0016139,              0.0016139
                     42,                 0.9696,                 0.4343,                 1.2616,                0.97524,                0.97569,                0.99071,                0.75751,                0.86797,                0.35289,                 1.3402,               0.001604,               0.001604,               0.001604
                     43,                 0.9694,                0.44479,                 1.2865,                0.98175,                0.99612,                0.99418,                0.75444,                  0.863,                0.34518,                 1.3614,              0.0015941,              0.0015941,              0.0015941
                     44,                0.98724,                0.45437,                 1.2844,                 0.9848,                0.97685,                0.99369,                0.69904,                0.98872,                0.37593,                 1.4879,              0.0015842,              0.0015842,              0.0015842
                     45,                0.96498,                0.43369,                 1.2563,                0.97913,                0.97454,                 0.9931,                0.75852,                0.88233,                0.34608,                 1.3505,              0.0015743,              0.0015743,              0.0015743
                     46,                0.96845,                0.44542,                 1.2597,                0.99056,                0.97181,                0.99305,                0.75417,                0.87795,                0.36004,                 1.3577,              0.0015644,              0.0015644,              0.0015644
