                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    151,                0.80356,                0.33654,                 1.1762,                0.98304,                0.98727,                 0.9942,                 0.7816,                 0.8394,                0.28824,                 1.3298,              0.0005249,              0.0005249,              0.0005249
                    152,                0.81441,                0.33724,                 1.1802,                0.97819,                0.98617,                 0.9937,                0.77504,                0.84688,                0.29117,                 1.3418,               0.000515,               0.000515,               0.000515
                    153,                0.80999,                0.33852,                 1.1673,                0.98119,                0.97801,                0.99316,                0.77812,                0.84512,                0.29529,                 1.3339,              0.0005051,              0.0005051,              0.0005051
                    154,                0.81558,                0.33759,                 1.1797,                0.97693,                0.98004,                0.99353,                0.77301,                0.85681,                0.29466,                 1.3391,              0.0004952,              0.0004952,              0.0004952
                    155,                0.81345,                 0.3399,                 1.1861,                0.98189,                0.97454,                0.99191,                 0.7711,                0.85668,                0.29892,                  1.344,              0.0004853,              0.0004853,              0.0004853
                    156,                0.80272,                0.33191,                 1.1719,                0.97959,                0.97685,                0.99311,                0.77054,                0.85921,                0.29337,                 1.3507,              0.0004754,              0.0004754,              0.0004754
                    157,                0.79707,                0.33177,                 1.1669,                0.98197,                0.97801,                 0.9915,                0.77262,                0.84575,                0.29119,                 1.3454,              0.0004655,              0.0004655,              0.0004655
                    158,                0.79513,                0.33301,                   1.17,                0.98372,                0.97902,                0.99348,                0.77349,                0.85139,                 0.2909,                  1.347,              0.0004556,              0.0004556,              0.0004556
                    159,                0.80804,                0.33125,                 1.1743,                0.98373,                0.97964,                0.99288,                0.77324,                0.85809,                0.29404,                 1.3556,              0.0004457,              0.0004457,              0.0004457
                    160,                0.79633,                0.33457,                 1.1699,                0.97853,                0.97801,                0.99238,                0.77213,                0.86499,                0.29569,                 1.3626,              0.0004358,              0.0004358,              0.0004358
                    161,                0.80493,                 0.3311,                 1.1752,                0.97642,                0.97917,                0.99245,                0.77219,                0.86274,                0.29604,                 1.3633,              0.0004259,              0.0004259,              0.0004259
                    162,                0.80065,                0.32448,                 1.1683,                0.98602,                 0.9797,                 0.9939,                0.77413,                0.86635,                0.28994,                 1.3679,               0.000416,               0.000416,               0.000416
                    163,                0.79496,                0.32801,                 1.1541,                0.97871,                 0.9838,                0.99349,                 0.7765,                0.86012,                0.29034,                 1.3587,              0.0004061,              0.0004061,              0.0004061
                    164,                0.79849,                0.33102,                 1.1717,                0.98257,                0.97857,                0.99332,                0.77453,                 0.8532,                0.29187,                 1.3569,              0.0003962,              0.0003962,              0.0003962
                    165,                 0.7891,                0.32331,                 1.1689,                0.97466,                0.97949,                0.99333,                0.77527,                0.85831,                0.29857,                 1.3538,              0.0003863,              0.0003863,              0.0003863
                    166,                0.78972,                0.32342,                 1.1569,                0.98261,                0.98091,                0.99366,                0.76749,                0.88177,                0.29236,                 1.3903,              0.0003764,              0.0003764,              0.0003764
                    167,                0.78079,                0.32611,                 1.1562,                0.98034,                0.98113,                0.99342,                0.77032,                0.86363,                0.29096,                  1.366,              0.0003665,              0.0003665,              0.0003665
                    168,                0.77099,                0.32146,                 1.1656,                0.98141,                0.97738,                0.99261,                0.77597,                0.85662,                0.29688,                 1.3577,              0.0003566,              0.0003566,              0.0003566
                    169,                0.77422,                0.32006,                 1.1558,                0.97595,                0.98619,                0.99351,                0.77373,                0.85977,                 0.2941,                 1.3602,              0.0003467,              0.0003467,              0.0003467
                    170,                0.77071,                0.31586,                  1.143,                 0.9796,                0.97801,                0.99325,                0.76989,                0.85686,                0.29656,                 1.3538,              0.0003368,              0.0003368,              0.0003368
                    171,                0.76764,                0.31687,                 1.1506,                0.97475,                0.97454,                0.99212,                0.77628,                0.85201,                0.29797,                 1.3518,              0.0003269,              0.0003269,              0.0003269
                    172,                0.77786,                 0.3201,                 1.1629,                0.98024,                0.97624,                0.99106,                0.77081,                0.84685,                0.29155,                 1.3532,               0.000317,               0.000317,               0.000317
                    173,                0.76894,                0.31657,                  1.143,                0.97798,                0.97679,                0.99278,                0.76703,                 0.8655,                0.29562,                 1.3709,              0.0003071,              0.0003071,              0.0003071
                    174,                0.76007,                0.31354,                 1.1491,                0.98024,                0.97602,                0.99337,                0.77042,                0.86088,                0.29384,                 1.3601,              0.0002972,              0.0002972,              0.0002972
                    175,                0.75964,                0.31021,                 1.1443,                0.97631,                0.98148,                0.99321,                0.76813,                0.86917,                0.29933,                  1.373,              0.0002873,              0.0002873,              0.0002873
                    176,                0.76042,                0.31925,                 1.1461,                0.98094,                0.98032,                0.99332,                0.76905,                0.87511,                0.29588,                 1.3893,              0.0002774,              0.0002774,              0.0002774
                    177,                0.75039,                0.31087,                 1.1277,                0.97473,                 0.9838,                0.99324,                0.77004,                0.86736,                0.29775,                 1.3747,              0.0002675,              0.0002675,              0.0002675
                    178,                 0.7533,                0.31193,                 1.1461,                0.97345,                0.97594,                0.99049,                0.77149,                0.86441,                0.30029,                 1.3677,              0.0002576,              0.0002576,              0.0002576
                    179,                0.76634,                 0.3153,                 1.1371,                0.97121,                0.97622,                0.99201,                 0.7686,                0.85448,                0.29863,                  1.364,              0.0002477,              0.0002477,              0.0002477
                    180,                0.74807,                0.31025,                 1.1381,                0.97601,                0.97454,                0.99181,                0.76612,                0.87333,                0.30139,                 1.3853,              0.0002378,              0.0002378,              0.0002378
                    181,                0.75649,                0.31215,                  1.142,                0.97792,                0.97412,                   0.99,                0.76881,                0.86913,                0.30225,                  1.379,              0.0002279,              0.0002279,              0.0002279
                    182,                0.75118,                0.31208,                 1.1356,                0.97788,                0.97226,                0.99053,                0.76794,                0.87327,                0.30146,                 1.3828,               0.000218,               0.000218,               0.000218
                    183,                 0.7499,                0.31174,                 1.1478,                0.97729,                0.97569,                0.99252,                0.76936,                0.86961,                0.29951,                 1.3841,              0.0002081,              0.0002081,              0.0002081
                    184,                0.75737,                0.31145,                 1.1411,                0.97383,                0.97569,                0.99115,                0.76593,                0.87738,                0.30359,                 1.3926,              0.0001982,              0.0001982,              0.0001982
                    185,                0.74576,                0.30686,                 1.1377,                0.97459,                0.97662,                0.98988,                0.76752,                0.86939,                0.30092,                 1.3835,              0.0001883,              0.0001883,              0.0001883
                    186,                0.73892,                0.30649,                  1.124,                0.97459,                0.97677,                0.99212,                0.76819,                0.86941,                0.29753,                 1.3886,              0.0001784,              0.0001784,              0.0001784
                    187,                0.74167,                0.31049,                 1.1442,                0.97694,                0.97338,                 0.9914,                0.77059,                0.86718,                0.29858,                 1.3828,              0.0001685,              0.0001685,              0.0001685
                    188,                0.73377,                0.30209,                 1.1387,                0.98244,                0.97113,                0.99249,                0.77023,                0.87479,                0.30087,                 1.3935,              0.0001586,              0.0001586,              0.0001586
                    189,                0.75307,                0.30802,                 1.1369,                0.97347,                0.97694,                0.99228,                 0.7699,                0.86998,                0.29557,                 1.3864,              0.0001487,              0.0001487,              0.0001487
                    190,                0.73531,                0.30245,                 1.1312,                0.97571,                0.97644,                0.99082,                0.76751,                0.87802,                0.29892,                 1.3947,              0.0001388,              0.0001388,              0.0001388
                    191,                0.70766,                 0.2691,                 1.1745,                0.97337,                0.97317,                0.98921,                0.76706,                 0.8751,                0.30099,                 1.3919,              0.0001289,              0.0001289,              0.0001289
                    192,                0.70266,                0.26771,                 1.1718,                0.97674,                0.97569,                0.99109,                0.77013,                0.86733,                0.29524,                 1.3787,               0.000119,               0.000119,               0.000119
                    193,                0.69889,                0.26688,                 1.1616,                0.97377,                0.98032,                0.99269,                 0.7664,                0.87295,                0.29601,                 1.3884,              0.0001091,              0.0001091,              0.0001091
                    194,                0.70003,                0.26773,                 1.1674,                0.97684,                0.97643,                0.99279,                  0.767,                 0.8705,                0.29434,                 1.3879,               9.92e-05,               9.92e-05,               9.92e-05
                    195,                0.70153,                0.26435,                 1.1773,                0.98133,                0.97359,                0.99277,                0.77093,                0.86333,                0.29215,                 1.3804,               8.93e-05,               8.93e-05,               8.93e-05
                    196,                0.69497,                0.26265,                  1.147,                0.98093,                0.97338,                0.99149,                0.77068,                0.86579,                 0.2957,                 1.3823,               7.94e-05,               7.94e-05,               7.94e-05
                    197,                0.68939,                0.26315,                 1.1559,                0.98151,                0.97454,                0.99238,                0.77056,                0.86646,                0.29467,                  1.383,               6.95e-05,               6.95e-05,               6.95e-05
                    198,                0.68772,                 0.2618,                 1.1545,                0.97428,                0.97801,                0.99155,                  0.769,                0.87019,                0.29731,                 1.3853,               5.96e-05,               5.96e-05,               5.96e-05
                    199,                0.69247,                0.26637,                 1.1548,                0.97349,                0.97768,                0.99141,                0.76781,                0.86753,                0.29687,                 1.3845,               4.97e-05,               4.97e-05,               4.97e-05
                    200,                0.68656,                 0.2621,                 1.1623,                0.97685,                0.97684,                0.99231,                0.76631,                0.87467,                0.29666,                 1.3912,               3.98e-05,               3.98e-05,               3.98e-05
